RecordingTime [ms],Time of Day [h:m:s:ms],Category Binocular,Index Binocular,Point of Regard Binocular X [px],Point of Regard Binocular Y [px],AOI Name Binocular
747.3,01:35:44:420,Visual Intake,1251,349.4,259.2,Spool 3
763.7,01:35:44:437,Visual Intake,1251,349.4,259.2,Spool 3
780.1,01:35:44:453,Visual Intake,1251,349.4,259.2,Spool 3
797.1,01:35:44:470,Visual Intake,1251,349.4,259.2,Spool 3
813.2,01:35:44:486,Visual Intake,1251,349.4,259.2,Spool 3
830.1,01:35:44:503,Saccade,2,349.4,259.2,Spool 3
846.6,01:35:44:520,-,-,0.0,0.0,-
863,01:35:44:536,-,-,0.0,0.0,-
879.9,01:35:44:553,-,-,0.0,0.0,-
896.2,01:35:44:569,-,-,0.0,0.0,-
913.1,01:35:44:586,-,-,0.0,0.0,-
929.8,01:35:44:603,-,-,0.0,0.0,-
945.9,01:35:44:619,Visual Intake,1252,405.0,284.6,Spool 3
962.6,01:35:44:636,Visual Intake,1252,405.0,284.6,Spool 3
979.2,01:35:44:652,Visual Intake,1252,405.0,284.6,Spool 3
995.8,01:35:44:669,Visual Intake,1252,405.0,284.6,Spool 3
1012.7,01:35:44:686,Visual Intake,1252,405.0,284.6,Spool 3
1029,01:35:44:702,Visual Intake,1252,405.0,284.6,Spool 3
1046,01:35:44:719,Visual Intake,1252,405.0,284.6,Spool 3
1062,01:35:44:735,Visual Intake,1252,405.0,284.6,Spool 3
1079.2,01:35:44:752,Visual Intake,1252,405.0,284.6,Spool 3
1095.6,01:35:44:769,Visual Intake,1252,405.0,284.6,Spool 3
1111.8,01:35:44:785,Visual Intake,1252,405.0,284.6,Spool 3
1128.4,01:35:44:801,Saccade,3,405.0,284.6,Spool 3
1145,01:35:44:818,-,-,0.0,0.0,-
1161.8,01:35:44:835,-,-,0.0,0.0,-
1178.8,01:35:44:852,Visual Intake,1253,533.4,191.6,Spool 3
1194.7,01:35:44:868,Visual Intake,1253,533.4,191.6,Spool 3
1211.5,01:35:44:885,Visual Intake,1253,533.4,191.6,Spool 3
1228,01:35:44:901,Visual Intake,1253,533.4,191.6,Spool 3
1244.9,01:35:44:918,Visual Intake,1253,533.4,191.6,Spool 3
1261.7,01:35:44:935,Visual Intake,1253,533.4,191.6,Spool 3
1277.8,01:35:44:951,Visual Intake,1253,533.4,191.6,Spool 3
1294.9,01:35:44:968,Visual Intake,1253,533.4,191.6,Spool 3
1311,01:35:44:984,Visual Intake,1253,533.4,191.6,Spool 3
1327.8,01:35:45:001,Visual Intake,1253,533.4,191.6,Spool 3
1344.5,01:35:45:018,Visual Intake,1253,533.4,191.6,Spool 3
1360.7,01:35:45:034,Visual Intake,1253,533.4,191.6,Spool 3
1377.7,01:35:45:051,Saccade,4,533.4,191.6,Spool 3
1393.9,01:35:45:067,-,-,0.0,0.0,-
1411.1,01:35:45:084,-,-,0.0,0.0,-
1427.7,01:35:45:101,Visual Intake,1254,399.9,292.8,Spool 3
1443.9,01:35:45:117,Visual Intake,1254,399.9,292.8,Spool 3
1460.4,01:35:45:133,Visual Intake,1254,399.9,292.8,Spool 3
1476.8,01:35:45:150,Visual Intake,1254,399.9,292.8,Spool 3
1494.1,01:35:45:167,Visual Intake,1254,399.9,292.8,Spool 3
1510.4,01:35:45:183,Visual Intake,1254,399.9,292.8,Spool 3
1526.6,01:35:45:200,Visual Intake,1254,399.9,292.8,Spool 3
1543.7,01:35:45:217,Visual Intake,1254,399.9,292.8,Spool 3
1559.9,01:35:45:233,Visual Intake,1254,399.9,292.8,Spool 3
1576.9,01:35:45:250,Visual Intake,1254,399.9,292.8,Spool 3
1593.2,01:35:45:266,Visual Intake,1254,399.9,292.8,Spool 3
1609.6,01:35:45:283,Visual Intake,1254,399.9,292.8,Spool 3
1626.4,01:35:45:299,Visual Intake,1254,399.9,292.8,Spool 3
1643.4,01:35:45:316,Saccade,5,399.9,292.8,Spool 3
1659.6,01:35:45:333,-,-,0.0,0.0,-
1676.3,01:35:45:349,-,-,0.0,0.0,-
1692.8,01:35:45:366,-,-,0.0,0.0,-
1709.5,01:35:45:382,-,-,0.0,0.0,-
1726,01:35:45:399,-,-,0.0,0.0,-
1742.4,01:35:45:415,-,-,0.0,0.0,-
1759.1,01:35:45:432,-,-,0.0,0.0,-
1775.7,01:35:45:449,-,-,0.0,0.0,-
1792.4,01:35:45:465,Visual Intake,1255,534.1,165.1,Spool 3
1808.9,01:35:45:482,Visual Intake,1255,534.1,165.1,Spool 3
1825.5,01:35:45:498,Visual Intake,1255,534.1,165.1,Spool 3
1842.4,01:35:45:515,Visual Intake,1255,534.1,165.1,Spool 3
1858.7,01:35:45:532,Visual Intake,1255,534.1,165.1,Spool 3
1875.6,01:35:45:549,Visual Intake,1255,534.1,165.1,Spool 3
1892.2,01:35:45:565,Visual Intake,1255,534.1,165.1,Spool 3
1908.5,01:35:45:582,Visual Intake,1255,534.1,165.1,Spool 3
1925.3,01:35:45:598,Visual Intake,1255,534.1,165.1,Spool 3
1941.6,01:35:45:615,Visual Intake,1255,534.1,165.1,Spool 3
1958.6,01:35:45:632,Visual Intake,1255,534.1,165.1,Spool 3
1975.4,01:35:45:648,Visual Intake,1255,534.1,165.1,Spool 3
1991.5,01:35:45:665,Visual Intake,1255,534.1,165.1,Spool 3
2008.3,01:35:45:681,Visual Intake,1255,534.1,165.1,Spool 3
2024.6,01:35:45:698,Visual Intake,1255,534.1,165.1,Spool 3
2041.8,01:35:45:715,Visual Intake,1255,534.1,165.1,Spool 3
2058.3,01:35:45:731,Visual Intake,1255,534.1,165.1,Spool 3
2074.3,01:35:45:747,Visual Intake,1255,534.1,165.1,Spool 3
2091.1,01:35:45:764,Visual Intake,1255,534.1,165.1,Spool 3
2107.5,01:35:45:780,Visual Intake,1255,534.1,165.1,Spool 3
2124.3,01:35:45:797,Visual Intake,1255,534.1,165.1,Spool 3
2141.3,01:35:45:814,Visual Intake,1255,534.1,165.1,Spool 3
2157.3,01:35:45:830,Visual Intake,1255,534.1,165.1,Spool 3
2174.3,01:35:45:847,Visual Intake,1255,534.1,165.1,Spool 3
2190.5,01:35:45:863,Visual Intake,1255,534.1,165.1,Spool 3
2207.2,01:35:45:880,Visual Intake,1255,534.1,165.1,Spool 3
2224.2,01:35:45:897,Visual Intake,1255,534.1,165.1,Spool 3
2240.1,01:35:45:913,Visual Intake,1255,534.1,165.1,Spool 3
2257,01:35:45:930,Visual Intake,1255,534.1,165.1,Spool 3
2273.6,01:35:45:947,Visual Intake,1255,534.1,165.1,Spool 3
2290.5,01:35:45:964,Visual Intake,1255,534.1,165.1,Spool 3
2307,01:35:45:980,Visual Intake,1255,534.1,165.1,Spool 3
2323.2,01:35:45:996,-,-,534.1,165.1,Spool 3
2340.3,01:35:46:013,-,-,0.0,0.0,-
2356.4,01:35:46:029,-,-,0.0,0.0,-
2373.4,01:35:46:046,-,-,0.0,0.0,White Space
2390,01:35:46:063,-,-,0.0,0.0,White Space
2406.2,01:35:46:079,-,-,0.0,0.0,White Space
2423,01:35:46:096,-,-,0.0,0.0,White Space
2439.4,01:35:46:112,-,-,0.0,0.0,White Space
2456.2,01:35:46:129,-,-,0.0,0.0,White Space
2472.7,01:35:46:146,-,-,0.0,0.0,White Space
2489.2,01:35:46:162,-,-,0.0,0.0,White Space
2506.1,01:35:46:179,-,-,0.0,0.0,White Space
2522.4,01:35:46:195,-,-,0.0,0.0,White Space
2539.4,01:35:46:212,-,-,0.0,0.0,White Space
2556,01:35:46:229,-,-,0.0,0.0,White Space
2572.1,01:35:46:245,-,-,0.0,0.0,White Space
2588.9,01:35:46:262,-,-,0.0,0.0,-
2605.4,01:35:46:278,-,-,0.0,0.0,-
2622.6,01:35:46:296,-,-,0.0,0.0,-
2638.9,01:35:46:312,Visual Intake,1257,603.0,223.9,Spool 3
2655.1,01:35:46:328,Visual Intake,1257,603.0,223.9,Spool 3
2672.2,01:35:46:345,Visual Intake,1257,603.0,223.9,Spool 3
2688.3,01:35:46:361,Visual Intake,1257,603.0,223.9,Spool 3
2705.3,01:35:46:378,Visual Intake,1257,603.0,223.9,Spool 3
2722.1,01:35:46:395,Visual Intake,1257,603.0,223.9,Spool 3
2738.3,01:35:46:411,Visual Intake,1257,603.0,223.9,Spool 3
2755.5,01:35:46:428,Visual Intake,1257,603.0,223.9,Spool 3
2771.5,01:35:46:444,Visual Intake,1257,603.0,223.9,Spool 3
2788.2,01:35:46:461,Visual Intake,1257,603.0,223.9,Spool 3
2805,01:35:46:478,Visual Intake,1257,603.0,223.9,Spool 3
2821.3,01:35:46:494,Visual Intake,1257,603.0,223.9,Spool 3
2838.1,01:35:46:511,Visual Intake,1257,603.0,223.9,Spool 3
2854.7,01:35:46:528,Visual Intake,1257,603.0,223.9,Spool 3
2871.5,01:35:46:544,Visual Intake,1257,603.0,223.9,Spool 3
2888,01:35:46:561,Visual Intake,1257,603.0,223.9,Spool 3
2904.2,01:35:46:577,Visual Intake,1257,603.0,223.9,Spool 3
2921.2,01:35:46:594,Visual Intake,1257,603.0,223.9,Spool 3
2937.3,01:35:46:610,Visual Intake,1257,603.0,223.9,Spool 3
2954.3,01:35:46:627,Visual Intake,1257,603.0,223.9,Spool 3
2971,01:35:46:644,Visual Intake,1257,603.0,223.9,Spool 3
2987.1,01:35:46:660,Visual Intake,1257,603.0,223.9,Spool 3
3004,01:35:46:677,Visual Intake,1257,603.0,223.9,Spool 3
3020.2,01:35:46:693,Visual Intake,1257,603.0,223.9,Spool 3
3037.3,01:35:46:710,Visual Intake,1257,603.0,223.9,Spool 3
3054.1,01:35:46:727,Visual Intake,1257,603.0,223.9,Spool 3
3070,01:35:46:743,Visual Intake,1257,603.0,223.9,Spool 3
3087.3,01:35:46:760,Visual Intake,1257,603.0,223.9,Spool 3
3103.2,01:35:46:776,Visual Intake,1257,603.0,223.9,Spool 3
3120.5,01:35:46:793,Visual Intake,1257,603.0,223.9,Spool 3
3137,01:35:46:810,Visual Intake,1257,603.0,223.9,Spool 3
3153,01:35:46:826,Visual Intake,1257,603.0,223.9,Spool 3
3170.2,01:35:46:843,Visual Intake,1257,603.0,223.9,Spool 3
3186.2,01:35:46:859,Visual Intake,1257,603.0,223.9,Spool 3
3203.4,01:35:46:876,Visual Intake,1257,603.0,223.9,Spool 3
3219.8,01:35:46:893,Visual Intake,1257,603.0,223.9,Spool 3
3236.1,01:35:46:909,Visual Intake,1257,603.0,223.9,Spool 3
3253.1,01:35:46:926,Visual Intake,1257,603.0,223.9,Spool 3
3269.2,01:35:46:942,Visual Intake,1257,603.0,223.9,Spool 3
3286.2,01:35:46:959,Saccade,6,603.0,223.9,Spool 3
3302.9,01:35:46:976,-,-,0.0,0.0,-
3318.8,01:35:46:992,-,-,0.0,0.0,-
3335.8,01:35:47:009,Visual Intake,1258,642.3,271.9,Spool 3
3352.1,01:35:47:025,Visual Intake,1258,642.3,271.9,Spool 3
3369.4,01:35:47:042,Visual Intake,1258,642.3,271.9,Spool 3
3385.9,01:35:47:059,Visual Intake,1258,642.3,271.9,Spool 3
3402,01:35:47:075,Visual Intake,1258,642.3,271.9,Spool 3
3418.9,01:35:47:092,Visual Intake,1258,642.3,271.9,Spool 3
3435.1,01:35:47:108,Visual Intake,1258,642.3,271.9,Spool 3
3452.3,01:35:47:125,Visual Intake,1258,642.3,271.9,Spool 3
3468.4,01:35:47:141,Visual Intake,1258,642.3,271.9,Spool 3
3485,01:35:47:158,Visual Intake,1258,642.3,271.9,Spool 3
3502.1,01:35:47:175,Visual Intake,1258,642.3,271.9,Spool 3
3518.1,01:35:47:191,Visual Intake,1258,642.3,271.9,Spool 3
3535.3,01:35:47:208,Visual Intake,1258,642.3,271.9,Spool 3
3551.9,01:35:47:225,Saccade,7,642.3,271.9,Spool 3
3568,01:35:47:241,-,-,0.0,0.0,-
3585,01:35:47:258,-,-,0.0,0.0,-
3601.2,01:35:47:274,-,-,0.0,0.0,-
3617.9,01:35:47:291,-,-,0.0,0.0,-
3634.5,01:35:47:307,Visual Intake,1259,280.4,108.0,Spool 3
3651.1,01:35:47:324,Visual Intake,1259,280.4,108.0,Spool 3
3667.9,01:35:47:341,Visual Intake,1259,280.4,108.0,Spool 3
3684.4,01:35:47:357,Visual Intake,1259,280.4,108.0,Spool 3
3700.6,01:35:47:374,Visual Intake,1259,280.4,108.0,Spool 3
3717.8,01:35:47:391,Visual Intake,1259,280.4,108.0,Spool 3
3733.9,01:35:47:407,Visual Intake,1259,280.4,108.0,Spool 3
3750.7,01:35:47:424,Visual Intake,1259,280.4,108.0,Spool 3
3767.5,01:35:47:440,Visual Intake,1259,280.4,108.0,Spool 3
3783.6,01:35:47:457,Visual Intake,1259,280.4,108.0,Spool 3
3800.6,01:35:47:474,Visual Intake,1259,280.4,108.0,Spool 3
3816.9,01:35:47:490,Visual Intake,1259,280.4,108.0,Spool 3
3834.1,01:35:47:507,Visual Intake,1259,280.4,108.0,Spool 3
3850.3,01:35:47:523,Visual Intake,1259,280.4,108.0,Spool 3
3866.6,01:35:47:540,Visual Intake,1259,280.4,108.0,Spool 3
3883.8,01:35:47:557,Visual Intake,1259,280.4,108.0,Spool 3
3899.9,01:35:47:573,Visual Intake,1259,280.4,108.0,Spool 3
3917,01:35:47:590,Visual Intake,1259,280.4,108.0,Spool 3
3933.5,01:35:47:606,Visual Intake,1259,280.4,108.0,Spool 3
3949.6,01:35:47:623,Visual Intake,1259,280.4,108.0,Spool 3
3966.3,01:35:47:639,Visual Intake,1259,280.4,108.0,Spool 3
3982.7,01:35:47:656,Visual Intake,1259,280.4,108.0,Spool 3
3999.6,01:35:47:673,Visual Intake,1259,280.4,108.0,Spool 3
4016.3,01:35:47:689,Visual Intake,1259,280.4,108.0,Spool 3
4032.6,01:35:47:706,Visual Intake,1259,280.4,108.0,Spool 3
4049.7,01:35:47:723,Visual Intake,1259,280.4,108.0,Spool 3
4065.7,01:35:47:739,Visual Intake,1259,280.4,108.0,Spool 3
4082.8,01:35:47:756,Visual Intake,1259,280.4,108.0,Spool 3
4099.2,01:35:47:772,Visual Intake,1259,280.4,108.0,Spool 3
4115.6,01:35:47:789,Visual Intake,1259,280.4,108.0,Spool 3
4132.7,01:35:47:806,Visual Intake,1259,280.4,108.0,Spool 3
4148.7,01:35:47:822,Visual Intake,1259,280.4,108.0,Spool 3
4166,01:35:47:839,Visual Intake,1259,280.4,108.0,Spool 3
4182.3,01:35:47:855,Visual Intake,1259,280.4,108.0,Spool 3
4198.4,01:35:47:871,Visual Intake,1259,280.4,108.0,Spool 3
4215.1,01:35:47:888,Saccade,8,280.4,108.0,Spool 3
4231.6,01:35:47:905,-,-,0.0,0.0,-
4248.3,01:35:47:921,-,-,0.0,0.0,-
4264.8,01:35:47:938,-,-,0.0,0.0,-
4281.4,01:35:47:954,Visual Intake,1260,519.9,142.8,Spool 3
4298.1,01:35:47:971,Visual Intake,1260,519.9,142.8,Spool 3
4314.6,01:35:47:988,Visual Intake,1260,519.9,142.8,Spool 3
4331.2,01:35:48:004,Visual Intake,1260,519.9,142.8,Spool 3
4347.8,01:35:48:021,Visual Intake,1260,519.9,142.8,Spool 3
4364.4,01:35:48:037,Visual Intake,1260,519.9,142.8,Spool 3
4381.1,01:35:48:054,Visual Intake,1260,519.9,142.8,Spool 3
4397.5,01:35:48:071,Visual Intake,1260,519.9,142.8,Spool 3
4414.2,01:35:48:087,Visual Intake,1260,519.9,142.8,Spool 3
4430.8,01:35:48:104,Visual Intake,1260,519.9,142.8,Spool 3
4447.4,01:35:48:120,Visual Intake,1260,519.9,142.8,Spool 3
4464.1,01:35:48:137,Visual Intake,1260,519.9,142.8,Spool 3
4480.6,01:35:48:154,Visual Intake,1260,519.9,142.8,Spool 3
4497.8,01:35:48:171,Visual Intake,1260,519.9,142.8,Spool 3
4514.3,01:35:48:187,Visual Intake,1260,519.9,142.8,Spool 3
4530.5,01:35:48:203,Visual Intake,1260,519.9,142.8,Spool 3
4547.3,01:35:48:220,Saccade,9,519.9,142.8,Spool 3
4563.6,01:35:48:237,-,-,0.0,0.0,-
4580.7,01:35:48:254,-,-,0.0,0.0,-
4597.5,01:35:48:270,-,-,0.0,0.0,-
4613.4,01:35:48:286,Visual Intake,1261,343.0,82.7,Spool 3
4630.4,01:35:48:303,Visual Intake,1261,343.0,82.7,Spool 3
4646.6,01:35:48:320,Visual Intake,1261,343.0,82.7,Spool 3
4663.8,01:35:48:337,Visual Intake,1261,343.0,82.7,Spool 3
4680.1,01:35:48:353,Visual Intake,1261,343.0,82.7,Spool 3
4696.4,01:35:48:369,Visual Intake,1261,343.0,82.7,Spool 3
4713.5,01:35:48:386,Visual Intake,1261,343.0,82.7,Spool 3
4729.8,01:35:48:403,Visual Intake,1261,343.0,82.7,Spool 3
4746.6,01:35:48:420,Visual Intake,1261,343.0,82.7,Spool 3
4762.9,01:35:48:436,Visual Intake,1261,343.0,82.7,Spool 3
4779.5,01:35:48:453,Visual Intake,1261,343.0,82.7,Spool 3
4796.4,01:35:48:469,Visual Intake,1261,343.0,82.7,Spool 3
4812.7,01:35:48:486,Visual Intake,1261,343.0,82.7,Spool 3
4829.2,01:35:48:502,Saccade,10,343.0,82.7,Spool 3
4845.9,01:35:48:519,-,-,0.0,0.0,-
4862.2,01:35:48:535,Visual Intake,1262,323.9,82.7,Spool 3
4879.1,01:35:48:552,Visual Intake,1262,323.9,82.7,Spool 3
4895.5,01:35:48:569,Visual Intake,1262,323.9,82.7,Spool 3
4912,01:35:48:585,Visual Intake,1262,323.9,82.7,Spool 3
4929.4,01:35:48:602,Visual Intake,1262,323.9,82.7,Spool 3
4945.3,01:35:48:618,Visual Intake,1262,323.9,82.7,Spool 3
4962.5,01:35:48:636,Visual Intake,1262,323.9,82.7,Spool 3
4978.5,01:35:48:652,Visual Intake,1262,323.9,82.7,Spool 3
4995.5,01:35:48:669,-,-,323.9,82.7,Spool 3
5012.1,01:35:48:685,-,-,0.0,0.0,-
5028.3,01:35:48:701,-,-,0.0,0.0,-
5045.2,01:35:48:718,-,-,0.0,0.0,-
5061.7,01:35:48:735,-,-,0.0,0.0,-
5078.8,01:35:48:752,-,-,0.0,0.0,-
5095.2,01:35:48:768,-,-,0.0,0.0,White Space
5111.4,01:35:48:784,-,-,0.0,0.0,White Space
5128,01:35:48:801,-,-,0.0,0.0,White Space
5144.6,01:35:48:818,-,-,0.0,0.0,White Space
5161.5,01:35:48:834,-,-,0.0,0.0,White Space
5177.9,01:35:48:851,-,-,0.0,0.0,White Space
5194.4,01:35:48:867,-,-,0.0,0.0,White Space
5211.2,01:35:48:884,-,-,0.0,0.0,White Space
5227.5,01:35:48:900,-,-,0.0,0.0,White Space
5244.3,01:35:48:917,-,-,0.0,0.0,White Space
5261,01:35:48:934,-,-,0.0,0.0,White Space
5277.2,01:35:48:950,-,-,0.0,0.0,White Space
5294.1,01:35:48:967,-,-,0.0,0.0,White Space
5310.4,01:35:48:983,-,-,0.0,0.0,White Space
5327.2,01:35:49:000,-,-,0.0,0.0,White Space
5344.1,01:35:49:017,-,-,0.0,0.0,White Space
5360.2,01:35:49:033,-,-,0.0,0.0,White Space
5377.1,01:35:49:050,-,-,0.0,0.0,White Space
5393.4,01:35:49:066,-,-,0.0,0.0,White Space
5410.5,01:35:49:084,-,-,0.0,0.0,White Space
5427.1,01:35:49:100,-,-,0.0,0.0,White Space
5443.2,01:35:49:116,-,-,0.0,0.0,White Space
5460,01:35:49:133,-,-,0.0,0.0,White Space
5476.4,01:35:49:149,-,-,0.0,0.0,White Space
5493,01:35:49:166,-,-,0.0,0.0,White Space
5493,01:35:49:166,-,-,0.0,0.0,White Space
5509.2,01:35:49:182,-,-,0.0,0.0,White Space
5526.3,01:35:49:199,-,-,0.0,0.0,White Space
5542.4,01:35:49:215,-,-,0.0,0.0,White Space
5559.5,01:35:49:233,-,-,0.0,0.0,White Space
5576,01:35:49:249,-,-,0.0,0.0,White Space
5592.2,01:35:49:265,-,-,0.0,0.0,White Space
5609.3,01:35:49:282,-,-,0.0,0.0,White Space
5625.2,01:35:49:298,-,-,0.0,0.0,White Space
5642.6,01:35:49:316,-,-,0.0,0.0,White Space
5659.1,01:35:49:332,-,-,0.0,0.0,White Space
5675.2,01:35:49:348,-,-,0.0,0.0,White Space
5692.1,01:35:49:365,-,-,0.0,0.0,White Space
5708.3,01:35:49:381,-,-,0.0,0.0,-
5725.5,01:35:49:399,-,-,0.0,0.0,-
5742.1,01:35:49:415,-,-,0.0,0.0,-
5758.1,01:35:49:431,Visual Intake,1298,133.3,162.5,Spool 3
5774.9,01:35:49:448,Visual Intake,1298,133.3,162.5,Spool 3
5791.3,01:35:49:464,Visual Intake,1298,133.3,162.5,Spool 3
5808.6,01:35:49:482,Visual Intake,1298,133.3,162.5,Spool 3
5825.1,01:35:49:498,Visual Intake,1298,133.3,162.5,Spool 3
5841.1,01:35:49:514,Visual Intake,1298,133.3,162.5,Spool 3
5858.1,01:35:49:531,Visual Intake,1298,133.3,162.5,Spool 3
5874.3,01:35:49:547,Saccade,11,133.3,162.5,Spool 3
5891.6,01:35:49:565,-,-,0.0,0.0,-
5907.7,01:35:49:581,-,-,0.0,0.0,-
5924.1,01:35:49:597,Visual Intake,1299,-20.9,71.2,-
5941.3,01:35:49:614,Visual Intake,1299,-20.9,71.2,-
5957.3,01:35:49:630,Visual Intake,1299,-20.9,71.2,-
5974.2,01:35:49:647,Visual Intake,1299,-20.9,71.2,-
5991,01:35:49:664,Visual Intake,1299,-20.9,71.2,-
6007.1,01:35:49:680,Visual Intake,1299,-20.9,71.2,-
6023.8,01:35:49:697,Saccade,12,-20.9,71.2,-
6040.9,01:35:49:714,-,-,0.0,0.0,-
6056.8,01:35:49:730,-,-,0.0,0.0,-
6073.7,01:35:49:747,Visual Intake,1300,53.9,172.9,Spool 3
6090,01:35:49:763,Visual Intake,1300,53.9,172.9,Spool 3
6107,01:35:49:780,Visual Intake,1300,53.9,172.9,Spool 3
6123.8,01:35:49:797,Visual Intake,1300,53.9,172.9,Spool 3
6139.8,01:35:49:813,Visual Intake,1300,53.9,172.9,Spool 3
6156.8,01:35:49:830,Visual Intake,1300,53.9,172.9,Spool 3
6173,01:35:49:846,Visual Intake,1300,53.9,172.9,Spool 3
6190,01:35:49:863,Visual Intake,1300,53.9,172.9,Spool 3
6206.4,01:35:49:879,Saccade,13,53.9,172.9,Spool 3
6222.8,01:35:49:896,-,-,0.0,0.0,-
6239.8,01:35:49:913,-,-,0.0,0.0,-
6256,01:35:49:929,-,-,0.0,0.0,-
6272.8,01:35:49:946,-,-,0.0,0.0,-
6289.6,01:35:49:963,-,-,0.0,0.0,-
6305.7,01:35:49:979,-,-,0.0,0.0,-
6322.6,01:35:49:996,Visual Intake,1301,146.4,173.6,Spool 3
6338.9,01:35:50:012,Visual Intake,1301,146.4,173.6,Spool 3
6356,01:35:50:029,Visual Intake,1301,146.4,173.6,Spool 3
6372.8,01:35:50:046,Visual Intake,1301,146.4,173.6,Spool 3
6388.9,01:35:50:062,Visual Intake,1301,146.4,173.6,Spool 3
6405.9,01:35:50:079,Visual Intake,1301,146.4,173.6,Spool 3
6421.9,01:35:50:095,Visual Intake,1301,146.4,173.6,Spool 3
6438.9,01:35:50:112,Visual Intake,1301,146.4,173.6,Spool 3
6455.7,01:35:50:129,Visual Intake,1301,146.4,173.6,Spool 3
6471.8,01:35:50:145,Visual Intake,1301,146.4,173.6,Spool 3
6488.5,01:35:50:161,Visual Intake,1301,146.4,173.6,Spool 3
6504.9,01:35:50:178,Saccade,14,146.4,173.6,Spool 3
6521.8,01:35:50:195,-,-,0.0,0.0,-
6538.7,01:35:50:212,-,-,0.0,0.0,-
6554.9,01:35:50:228,Visual Intake,1302,268.1,233.7,Spool 3
6571.9,01:35:50:245,Visual Intake,1302,268.1,233.7,Spool 3
6588.1,01:35:50:261,Visual Intake,1302,268.1,233.7,Spool 3
6605,01:35:50:278,Visual Intake,1302,268.1,233.7,Spool 3
6621.6,01:35:50:295,Visual Intake,1302,268.1,233.7,Spool 3
6637.7,01:35:50:311,Visual Intake,1302,268.1,233.7,Spool 3
6654.7,01:35:50:328,Visual Intake,1302,268.1,233.7,Spool 3
6671,01:35:50:344,Visual Intake,1302,268.1,233.7,Spool 3
6687.8,01:35:50:361,Visual Intake,1302,268.1,233.7,Spool 3
6704.7,01:35:50:378,Visual Intake,1302,268.1,233.7,Spool 3
6720.8,01:35:50:394,Visual Intake,1302,268.1,233.7,Spool 3
6737.5,01:35:50:411,Visual Intake,1302,268.1,233.7,Spool 3
6753.8,01:35:50:427,Visual Intake,1302,268.1,233.7,Spool 3
